experiment,condition,decision_id,ocid,ai_verdict,policy_verdict,violation_codes,violations_count,policy_snapshot_id,policy_snapshot_digest,timestamp,model_id,contract_value,publication_delay_days,above_threshold,governed_by_pa23,is_modification,direct_award_justification_present,procurement_method_open_flag,supplier_id
E1,baseline,00c46932-9b81-45d8-a194-ed91ad3656cd,ocds-b5fd17-28aab079-7501-44ac-918d-91f423ac64f0,REVIEW,ALLOW,[],0,cbf12348-6248-48f7-a06f-4e0304cc237e,5d7d800186d4eda4a05f926bcaa34b23d56b31d923016cc6467952ee8fc0cc9d,2026-05-18T10:55:24.914Z,gpt-5.4-2026-03-05,45000,21,false,true,false,false,,GB-COH-00235446
E1,baseline,0139da4d-6de2-41fa-ba69-8ff2cf212c6b,ocds-b5fd17-462fa160-168d-4e7a-9afe-bfd364e28f17,REVIEW,ALLOW,[],0,cbf12348-6248-48f7-a06f-4e0304cc237e,5d7d800186d4eda4a05f926bcaa34b23d56b31d923016cc6467952ee8fc0cc9d,2026-05-18T10:46:21.188Z,gpt-5.4-2026-03-05,37820,8,false,true,false,false,,GB-COH-02174990
E1,baseline,01ec0b4f-5913-4e22-b364-d64ba5df69df,ocds-b5fd17-64623096-9641-438b-869d-31389470a0f6,REVIEW,ALLOW,[],0,cbf12348-6248-48f7-a06f-4e0304cc237e,5d7d800186d4eda4a05f926bcaa34b23d56b31d923016cc6467952ee8fc0cc9d,2026-05-18T10:38:33.009Z,gpt-5.4-2026-03-05,96410,2,false,true,false,false,,GB-CFS-324337
E1,baseline,02a2761e-8112-428c-9589-fe1d67b20af5,ocds-b5fd17-7b83bc3a-c7cf-4eae-8b75-15566800dd72,REVIEW,ALLOW,[],0,cbf12348-6248-48f7-a06f-4e0304cc237e,5d7d800186d4eda4a05f926bcaa34b23d56b31d923016cc6467952ee8fc0cc9d,2026-05-18T10:43:50.373Z,gpt-5.4-2026-03-05,28710,99,false,true,false,false,,GB-COH-03183935
E1,baseline,0302c405-8db0-4eae-9c4b-31006cf8b905,ocds-b5fd17-7c51b0a7-321e-4d44-92f8-5244379dfbd7,REVIEW,ALLOW,[],0,cbf12348-6248-48f7-a06f-4e0304cc237e,5d7d800186d4eda4a05f926bcaa34b23d56b31d923016cc6467952ee8fc0cc9d,2026-05-18T10:55:12.145Z,gpt-5.4-2026-03-05,118185,-1032,false,true,false,false,,GB-CFS-7496
E1,baseline,03b6ed09-7dac-47c6-b70b-f699ae0d697b,ocds-b5fd17-76ff5400-8c82-4bc6-b0a1-9486cc5d5744,REVIEW,DENY,"[""PROC-005-OPEN-TENDER""]",1,cbf12348-6248-48f7-a06f-4e0304cc237e,5d7d800186d4eda4a05f926bcaa34b23d56b31d923016cc6467952ee8fc0cc9d,2026-05-18T10:49:14.704Z,gpt-5.4-2026-03-05,337140,10,true,true,false,false,,GB-COH-07116196
E1,baseline,046a46cd-0dee-451e-94da-576676423864,ocds-b5fd17-136e059b-a6a2-4ef6-a978-f2276283285e,REVIEW,ALLOW,[],0,cbf12348-6248-48f7-a06f-4e0304cc237e,5d7d800186d4eda4a05f926bcaa34b23d56b31d923016cc6467952ee8fc0cc9d,2026-05-18T10:54:04.959Z,gpt-5.4-2026-03-05,35000,32,false,true,false,false,,GB-CFS-83701
E1,baseline,04d8bdd0-3a78-4991-aa54-287766603283,ocds-b5fd17-a66d1478-796d-4a4e-823b-9b64dfaddf2f,REVIEW,DENY,"[""PROC-001-S53"",""PROC-002-AUTHORITY"",""PROC-005-OPEN-TENDER""]",3,cbf12348-6248-48f7-a06f-4e0304cc237e,5d7d800186d4eda4a05f926bcaa34b23d56b31d923016cc6467952ee8fc0cc9d,2026-05-18T10:48:49.671Z,gpt-5.4-2026-03-05,3463538.12,42,true,true,false,false,,GB-COH-05122974
E1,baseline,0534acd7-4a16-409e-a7f0-30e8fac711be,ocds-b5fd17-4ffed17e-a6a2-4672-951f-b4b5faba137d,REVIEW,ALLOW,[],0,cbf12348-6248-48f7-a06f-4e0304cc237e,5d7d800186d4eda4a05f926bcaa34b23d56b31d923016cc6467952ee8fc0cc9d,2026-05-18T10:44:24.393Z,gpt-5.4-2026-03-05,59000,29,false,true,false,false,,GB-COH-02649782
E1,baseline,0646a639-e158-4bfe-9582-3df6749265e2,ocds-b5fd17-f5d7b902-87b4-4f05-84bc-2dcab9047651,REVIEW,DENY,"[""PROC-002-AUTHORITY""]",1,cbf12348-6248-48f7-a06f-4e0304cc237e,5d7d800186d4eda4a05f926bcaa34b23d56b31d923016cc6467952ee8fc0cc9d,2026-05-18T10:51:44.327Z,gpt-5.4-2026-03-05,7781577,574,true,false,false,false,true,GB-CFS-308643
E1,baseline,07a4ae20-4f77-4be6-995b-b1ec07504c6a,ocds-b5fd17-04b7e64f-b67e-412d-80e2-617d05385709,REVIEW,DENY,"[""PROC-002-AUTHORITY"",""PROC-005-OPEN-TENDER""]",2,cbf12348-6248-48f7-a06f-4e0304cc237e,5d7d800186d4eda4a05f926bcaa34b23d56b31d923016cc6467952ee8fc0cc9d,2026-05-18T10:57:37.435Z,gpt-5.4-2026-03-05,1800000,1,true,true,false,false,,GB-CFS-334112
E1,baseline,0a3eb0b5-662a-483a-8ff5-7c7e431d0b3a,ocds-b5fd17-a044ca88-7d4c-451e-afe6-2f3247205efc,REVIEW,DENY,"[""PROC-001-S53"",""PROC-005-OPEN-TENDER""]",2,cbf12348-6248-48f7-a06f-4e0304cc237e,5d7d800186d4eda4a05f926bcaa34b23d56b31d923016cc6467952ee8fc0cc9d,2026-05-18T10:46:08.155Z,gpt-5.4-2026-03-05,336000,59,true,true,false,false,,GB-COH-02579852
E1,baseline,0a952dba-5fe2-4717-babe-bfd2184de38a,ocds-b5fd17-ffacf7f8-fd7c-4257-a581-ca6087c41eda,REVIEW,ALLOW,[],0,cbf12348-6248-48f7-a06f-4e0304cc237e,5d7d800186d4eda4a05f926bcaa34b23d56b31d923016cc6467952ee8fc0cc9d,2026-05-18T10:49:02.429Z,gpt-5.4-2026-03-05,25000,20,false,true,false,false,,GB-COH-04474600
E1,baseline,0b5a36d7-203f-4aa0-b705-2b8dad003d03,ocds-b5fd17-f0a4d316-0d59-42d0-b464-fa3798cc77fb,REVIEW,DENY,"[""PROC-002-AUTHORITY"",""PROC-005-OPEN-TENDER""]",2,cbf12348-6248-48f7-a06f-4e0304cc237e,5d7d800186d4eda4a05f926bcaa34b23d56b31d923016cc6467952ee8fc0cc9d,2026-05-18T11:01:10.673Z,gpt-5.4-2026-03-05,1200000,2,true,true,false,false,,GB-CFS-334101
E1,baseline,0c4a5055-ebc0-49c1-93b7-f44d4c3a1278,ocds-b5fd17-5fde2d2e-0bb8-45fd-9f45-2176c72fd73e,REVIEW,ALLOW,[],0,cbf12348-6248-48f7-a06f-4e0304cc237e,5d7d800186d4eda4a05f926bcaa34b23d56b31d923016cc6467952ee8fc0cc9d,2026-05-18T11:05:45.581Z,gpt-5.4-2026-03-05,35455.86,47,false,true,false,false,,GB-CFS-328535
E1,baseline,0c9d8ebf-5439-4ec6-84b1-47c04bb14d60,ocds-b5fd17-14f585e2-285f-465d-9cad-151f03f7e7f9,REVIEW,ALLOW,[],0,cbf12348-6248-48f7-a06f-4e0304cc237e,5d7d800186d4eda4a05f926bcaa34b23d56b31d923016cc6467952ee8fc0cc9d,2026-05-18T11:06:35.606Z,gpt-5.4-2026-03-05,34200,43,false,true,false,false,,GB-CFS-330632
E1,baseline,0cf6e7ee-da66-4765-a661-a5bd14fdbe71,ocds-b5fd17-963c1afb-feaf-4490-9642-16f65f5c31e4,REVIEW,DENY,"[""PROC-001-S53"",""PROC-002-AUTHORITY"",""PROC-005-OPEN-TENDER""]",3,cbf12348-6248-48f7-a06f-4e0304cc237e,5d7d800186d4eda4a05f926bcaa34b23d56b31d923016cc6467952ee8fc0cc9d,2026-05-18T10:45:29.746Z,gpt-5.4-2026-03-05,1200000,59,true,true,false,false,,GB-COH-02579852
E1,baseline,0d200250-bea8-4920-8f0f-9146ef9728d6,ocds-b5fd17-c88cf6a7-06b9-4edb-bc30-6cb207f74383,REVIEW,ALLOW,[],0,cbf12348-6248-48f7-a06f-4e0304cc237e,5d7d800186d4eda4a05f926bcaa34b23d56b31d923016cc6467952ee8fc0cc9d,2026-05-18T10:51:30.755Z,gpt-5.4-2026-03-05,48575,30,false,true,false,false,,GB-COH-07317496
E1,baseline,0e146d49-06d7-4308-9622-6b99055ca854,ocds-b5fd17-79690d28-baf0-408e-bba6-843e9abfa44e,REVIEW,ALLOW,[],0,cbf12348-6248-48f7-a06f-4e0304cc237e,5d7d800186d4eda4a05f926bcaa34b23d56b31d923016cc6467952ee8fc0cc9d,2026-05-18T10:50:10.770Z,gpt-5.4-2026-03-05,92160,2,false,true,false,false,,GB-CFS-327546
E1,baseline,0e18cec5-771b-4532-b40a-e224a3c1084f,ocds-b5fd17-efad1c42-9c41-4099-b0e2-7ff56de763ed,REVIEW,ALLOW,[],0,cbf12348-6248-48f7-a06f-4e0304cc237e,5d7d800186d4eda4a05f926bcaa34b23d56b31d923016cc6467952ee8fc0cc9d,2026-05-18T10:54:07.835Z,gpt-5.4-2026-03-05,48000,114,false,true,false,false,true,GB-CFS-286665
E1,baseline,107785f0-d9d6-45b1-9723-6436c09c055e,ocds-b5fd17-f88ec608-e7bf-4ce3-926f-b1633644a84d,REVIEW,DENY,"[""PROC-005-OPEN-TENDER""]",1,cbf12348-6248-48f7-a06f-4e0304cc237e,5d7d800186d4eda4a05f926bcaa34b23d56b31d923016cc6467952ee8fc0cc9d,2026-05-18T10:45:45.512Z,gpt-5.4-2026-03-05,379938.3,2,true,true,false,false,,GB-COH-5372315
