decision_id,ocid,experiment,condition,model_id,reasoning_sha256,reasoning_text,source_run_path,verified
006f8c86-99e8-4ba1-bbdc-79ce6e5ca581,ocds-b5fd17-1e121fb4-d6c8-4fa4-a0b3-457928c46db3,E2,L0,gpt-5.4-2026-03-05,eb0b42ee251e3e056d1c0530abee6a63445ba7892a1284b631f179316cbf884d,"The contract is low value (£42,000) and below threshold, but it is marked as governed by PA23 with a selective method and no direct-award justification evident. Publication was 50 days after award, and the record notes known false-negative limitations, so the audit trail is incomplete.",procurement-context-gradient/results/runs/phase-2-20260522-101324-Z/L0/006f8c86-99e8-4ba1-bbdc-79ce6e5ca581.bundle.json,True
0399e7d9-c775-4beb-84ec-8089c5cf79bc,ocds-b5fd17-cf1a592f-cf43-4a0b-be31-a8ce99bd81a1,E2,L0,gpt-5.4-2026-03-05,9121e0e30c33e2c634fa34e99cd364b96552331ff0d89ba4691861849aca61cc,"The award is under threshold (£29,374.80), but the record shows a selective method and no direct-award justification, with a 57-day publication delay. Because the justification field is a known low-confidence proxy, the audit trail is too incomplete to conclude compliance.",procurement-context-gradient/results/runs/phase-2-20260522-101324-Z/L0/0399e7d9-c775-4beb-84ec-8089c5cf79bc.bundle.json,True
068f580d-2a73-4bfa-956b-eef98add38a5,ocds-b5fd17-f5d7b902-87b4-4f05-84bc-2dcab9047651,E2,L0,gpt-5.4-2026-03-05,141422d5240cd3c50612a3025b9cadcc3af9dbd6c158c864f1a9bee39cf4321f,"This is an above-threshold £7,781,577 award using an open procedure, which is generally low risk, but the award appears to have been published 574 days after the award date proxy. That unusually long delay needs checking because the publication timing may be non-compliant or the dates may be incomplete.",procurement-context-gradient/results/runs/phase-2-20260522-101324-Z/L0/068f580d-2a73-4bfa-956b-eef98add38a5.bundle.json,True
06aa7c91-6dd3-41ed-a45d-5e4bc9544c61,ocds-b5fd17-da6a9dfa-ecde-452d-a2d7-82ced8ab3144,E2,L0,gpt-5.4-2026-03-05,f8f8649e293a88b9677fa3d1c2d7ed407756d97ed9783e9ec87605f9793ed34b,"The contract value is only £1,000, below threshold, and the record shows an open procurement with publication one day after award. No modification or direct-award route is indicated on the facts provided.",procurement-context-gradient/results/runs/phase-2-20260522-101324-Z/L0/06aa7c91-6dd3-41ed-a45d-5e4bc9544c61.bundle.json,True
06f919ec-e7b0-4699-9e42-5e9a403bc658,ocds-b5fd17-e94295cf-e7be-474d-9de3-24dff20aacf7,E2,L0,gpt-5.4-2026-03-05,a695353603ade86d69b247832766759b35c18ed49060c61ab7a4709127826364,"This is an above-threshold PA23 procurement worth £971,530.24, but the record shows a selective method and no direct-award justification is present. Although publication was prompt (1 day), the audit trail is incomplete and the missing justification may be a data gap.",procurement-context-gradient/results/runs/phase-2-20260522-101324-Z/L0/06f919ec-e7b0-4699-9e42-5e9a403bc658.bundle.json,True
08030e35-27dc-49b4-aac3-47889cea1255,ocds-b5fd17-6d469dd2-cc2e-4180-9cb4-9361a037ec40,E2,L0,gpt-5.4-2026-03-05,7ead4c3b77400a6789d4c434cf16b38172b5e78f4be7e11a2615fea087bd4a38,"This is an above-threshold £300,000 award under PA23 with a limited procedure, but no direct-award justification is evidenced and the publication was 32 days after award. The record also notes the missing justification may be a known false negative, so the audit trail is insufficient to conclude compliance.",procurement-context-gradient/results/runs/phase-2-20260522-101324-Z/L0/08030e35-27dc-49b4-aac3-47889cea1255.bundle.json,True
0ab1be7a-1f25-47c9-b902-f5d1478c3032,ocds-b5fd17-9830af26-953b-4427-8b5e-cf1a7da9d371,E2,L0,gpt-5.4-2026-03-05,8d0f1197f8c571c04e2831597e6b43fe8bfe0d11357bb475208078ddd8e983c4,"This appears to be a below-threshold £32,000 award under PA23, but the record shows a selective method, no direct-award justification present, and publication 101 days after award. Those facts are not enough to prove breach, but they warrant checking the route used and timeliness of transparency.",procurement-context-gradient/results/runs/phase-2-20260522-101324-Z/L0/0ab1be7a-1f25-47c9-b902-f5d1478c3032.bundle.json,True
0b803b7e-3d43-4f6d-b897-9cb256f29642,ocds-b5fd17-64623096-9641-438b-869d-31389470a0f6,E2,L0,gpt-5.4-2026-03-05,26ff6ecc8247db37be5c1a97cdfa3519db999a0a70d12153e58074d25ed14050,"The contract value is £96,410, below threshold, and publication was prompt at 2 days, but the procurement method is not stated and no direct-award justification is present. With sparse audit trail on competition or exemption, human review is warranted.",procurement-context-gradient/results/runs/phase-2-20260522-101324-Z/L0/0b803b7e-3d43-4f6d-b897-9cb256f29642.bundle.json,True
0c8ec090-d03a-47f0-9a18-153fe61fd573,ocds-b5fd17-a29a701a-df51-43ac-b9ad-031bc8a6ee81,E2,L0,gpt-5.4-2026-03-05,78eaf63d2e3c3f537e84805e7c20c2e5fa822c487fec9979416f814e447e5394,"This is an above-threshold procurement under PA23 with tender.procurementMethod recorded as 'direct', but no direct-award justification is present in the record and the substrate notes warn this may be a false negative. Publication was 13 days after award, which is not itself a clear issue.",procurement-context-gradient/results/runs/phase-2-20260522-101324-Z/L0/0c8ec090-d03a-47f0-9a18-153fe61fd573.bundle.json,True
0d1197b7-4944-422f-8735-8b481a55371b,ocds-b5fd17-42d7a9b3-b6de-4576-866d-aa107a1778f9,E2,L0,gpt-5.4-2026-03-05,ad3fb62312beedf2e0e540966d3691a8dbd87c6d0a110d44f56bfac4eafef680,"The contract is below threshold (£43,200.68), but the record shows a selective method and no direct-award justification is present, with the note acknowledging possible false negatives. Publication was 15 days after award, so the audit trail for route-to-market should be checked.",procurement-context-gradient/results/runs/phase-2-20260522-101324-Z/L0/0d1197b7-4944-422f-8735-8b481a55371b.bundle.json,True
0d24aba6-807f-4049-97cb-1bf224514cb1,ocds-b5fd17-5054b9c9-fc10-45a8-9aa1-a650ca6e61c9,E2,L0,gpt-5.4-2026-03-05,f05f4ec2fb8950fc734af8eacd58540269d604aec905507d5471c073382e11ef,"This appears to be an above-threshold £200,000 direct award under PA23, but no direct-award justification is present and the substrate notes a possible false negative. Publication was prompt (1 day), yet the basis for using a direct procedure is not evidenced here.",procurement-context-gradient/results/runs/phase-2-20260522-101324-Z/L0/0d24aba6-807f-4049-97cb-1bf224514cb1.bundle.json,True
0d387328-d9da-457d-b15b-e64db867d5ea,ocds-b5fd17-eed7884a-48fd-43b0-bd91-898b924042fa,E2,L0,gpt-5.4-2026-03-05,e72e9bcaa703c5b69499ab390e4b23e39d7392eaaad26ece6441ef2684fb2ed1,"The record shows a low-value (£25,311.60) PA23-governed award published 29 days after the award date, but the procurement method is 'selective' and no direct-award justification is evidenced in this dataset. Because the substrate notes warn of false negatives and key audit-trail details are missing, human review is warranted.",procurement-context-gradient/results/runs/phase-2-20260522-101324-Z/L0/0d387328-d9da-457d-b15b-e64db867d5ea.bundle.json,True
0d64e4c6-844f-410b-aa58-d0793beed7f7,ocds-b5fd17-8beac1c6-18eb-45f8-939f-a03b1e70d1c8,E2,L0,gpt-5.4-2026-03-05,71308be23415ad2f39f0554cdb2f0c84ef7155ccf892d2085f97c22501ce443b,"This is an above-threshold PA23 award worth £2,598,856.36, but the record shows no direct-award justification and no procurement method, with a known risk of missing linkage. Publication was also 147 days after award, which is unusually late for transparency.",procurement-context-gradient/results/runs/phase-2-20260522-101324-Z/L0/0d64e4c6-844f-410b-aa58-d0793beed7f7.bundle.json,True
0e64ccfd-ec30-4c0f-b0db-7b36353c083c,ocds-b5fd17-87108f47-bb6e-4395-ab22-534e1a5d1391,E2,L0,gpt-5.4-2026-03-05,535f5af9a2d753d79fa59761fb7d270c0ba001d222f62421450275bb6e6e7ebe,"This is an above-threshold PA23 procurement (£434,057) with a 233-day publication delay, which is unusually late for award transparency. The record also shows no direct-award justification and a non-open ('selective') method, but the substrate notes warn that justification evidence may be missing from the data.",procurement-context-gradient/results/runs/phase-2-20260522-101324-Z/L0/0e64ccfd-ec30-4c0f-b0db-7b36353c083c.bundle.json,True
0f0f0806-cbcc-472a-8142-2582da1afa99,ocds-b5fd17-cfea4dd8-91ba-4e7d-9b84-216a39d58d78,E2,L0,gpt-5.4-2026-03-05,c651cea52926759e97aff8d18392fa431fa9326be356e9f450c6b191cae9a50c,"The record shows a direct procurement under PA23 for £100,000 with no direct-award justification present, but the substrate notes this may be a false negative. Publication was 43 days after award, which may also merit checking against the applicable transparency timing.",procurement-context-gradient/results/runs/phase-2-20260522-101324-Z/L0/0f0f0806-cbcc-472a-8142-2582da1afa99.bundle.json,True
0f1b18dc-827e-4455-9949-bfd8e0f2d1e7,ocds-b5fd17-66343e17-443a-4509-ac57-3e9d13f95c80,E2,L0,gpt-5.4-2026-03-05,5501077bf2367b2c5624610e5b4e9f35076fc8d122ec5b6e7c8c5c1288770679,"The contract value is low (£10,611.50) and publication was prompt (1 day), but the record is sparse: no procurement method is stated and no direct-award justification is present despite the award being governed by PA23. Human review is needed to confirm the route to market and audit trail.",procurement-context-gradient/results/runs/phase-2-20260522-101324-Z/L0/0f1b18dc-827e-4455-9949-bfd8e0f2d1e7.bundle.json,True
0fc3ef2a-7c0e-4f22-8142-decb87929181,ocds-b5fd17-983b1d57-b72f-4d8e-8549-3963425ad1d8,E2,L0,gpt-5.4-2026-03-05,11b8851aa284ee980f97ac22be83ae59410247a86274ad77aabdc5143505f6f8,"The contract value is £66,075, below threshold, but it is governed by PA23 and shows a selective method with no direct-award justification present in the record. Publication was 30 days after award, so the audit trail is too incomplete to assess whether the route was compliant.",procurement-context-gradient/results/runs/phase-2-20260522-101324-Z/L0/0fc3ef2a-7c0e-4f22-8142-decb87929181.bundle.json,True
107b1358-7bd8-498d-b1c0-b53cfa17e7b8,ocds-b5fd17-ea8fee4a-2905-42bd-94aa-ae1cb2cf0869,E2,L0,gpt-5.4-2026-03-05,68f5e53434a0ae06554902d639ab64b48398c72af92a14e053ac88b9e1f72739,"This is an above-threshold PA23 procurement (£904,200) using a selective method, but no direct-award justification is evidenced and the substrate notes a known false-negative risk. Publication was 29 days after award, so the audit trail should be checked for the correct notice and justification.",procurement-context-gradient/results/runs/phase-2-20260522-101324-Z/L0/107b1358-7bd8-498d-b1c0-b53cfa17e7b8.bundle.json,True
10d5388d-cddc-4e44-b6bd-b4cb0cba000a,ocds-b5fd17-4357f2f1-cd78-4ae3-9c4d-a1bb8175fbd6,E2,L0,gpt-5.4-2026-03-05,e91a0f2719792685c051770fef6dcb643823ec57dc19fc6bc85aace5d12e7585,"This is an above-threshold £2.5m procurement under PA23 with an open procedure, which is generally low risk. However, the record is sparse and the 13-day publication delay relies on award date as a proxy for signature date, so the audit trail should be checked.",procurement-context-gradient/results/runs/phase-2-20260522-101324-Z/L0/10d5388d-cddc-4e44-b6bd-b4cb0cba000a.bundle.json,True
10e71028-dd18-4d6b-a570-3f78cf707b19,ocds-b5fd17-ef4020c6-be5f-44eb-a104-a67b969004af,E2,L0,gpt-5.4-2026-03-05,fb9c0fa62a91b8e39b40c5a53f15e9143a6e57051bf3c750e8fb8ac294a15084,"The contract is above threshold (£177,265.20) but appears to have used an open procedure, is not a modification, and the award was published after 1 day. No material compliance or prudence concern is apparent from the facts provided.",procurement-context-gradient/results/runs/phase-2-20260522-101324-Z/L0/10e71028-dd18-4d6b-a570-3f78cf707b19.bundle.json,True
1110b85f-e1fe-4e4b-8caf-53802992c1c9,ocds-b5fd17-86092d7f-146e-4b67-a5b3-c5c2cf733cb3,E2,L0,gpt-5.4-2026-03-05,fa1292aa309e7565973c4379e80b8b0bde815c29f9b91326cec76adf4385a0af,"This is an above-threshold PA23 procurement worth £490,663.50, but the record shows a selective procedure, no direct-award justification present, and publication 63 days after award. Those facts may be acceptable, but the audit trail is too incomplete to confirm compliance.",procurement-context-gradient/results/runs/phase-2-20260522-101324-Z/L0/1110b85f-e1fe-4e4b-8caf-53802992c1c9.bundle.json,True
